MCU Pin,Function,Notes,,
D0,Encoder A,Direct GPIO input with pullup,,
D1,Encoder B,Direct GPIO input with pullup,,
D2,LMB,"COM->GND, NO->D2; direct GPIO",,
D3,RMB,"COM->GND, NO->D3; direct GPIO",,
D4,I2C SDA,To MCP23017; pullup to 3.3V,,
D5,I2C SCL,To MCP23017; pullup to 3.3V,,
D6,Shared INT,MCP23017 INTA + optional PAW3395 MOTION via jumper; pullup to 3.3V,,
D7,PAW3395 CS/NCS,SPI chip select,,
D8,PAW3395 SCK,SPI clock,,
D9,PAW3395 MISO/SDO,Sensor -> MCU,,
D10,PAW3395 MOSI/SDI,MCU -> sensor,,
MCP GPA0-GPA7,Side buttons 1-8,"Input pullups enabled, button to GND",,
MCP GPB0,Side button 9,"Input pullup enabled, button to GND",,
MCP GPB1,MMB,"Input pullup enabled, button to GND",,
MCP GPB2-GPB4,Red/Green/Blue LEDs,Output -> resistor -> LED anode; cathode -> GND,,
